Population: 256
Generation: 0



fitness: 29.927  complexity: 6  size: 7
fitness: 30.2556  complexity: 6  size: 7
fitness: 31.2243  complexity: 6  size: 7
fitness: 31.5171  complexity: 6  size: 7


Species: 13.706  offsprings: 15  size: 2
fitness: 11.6796  complexity: 7  size: 7
fitness: 15.7324  complexity: 8  size: 8


Species: 13.238  offsprings: 17  size: 1
fitness: 13.238  complexity: 8  size: 8


Species: 12.242  offsprings: 14  size: 1
fitness: 12.242  complexity: 8  size: 8


Species: 12.0308  offsprings: 13  size: 1
fitness: 12.0308  complexity: 8  size: 8


Species: 11.965  offsprings: 12  size: 1
fitness: 11.965  complexity: 8  size: 8


Species: 10.2061  offsprings: 7  size: 17
fitness: 7.71538  complexity: 6  size: 7
fitness: 8.65467  complexity: 6  size: 7
fitness: 8.68297  complexity: 6  size: 7
fitness: 9.03259  complexity: 6  size: 7
fitness: 9.54636  complexity: 6  size: 7
fitness: 9.6368  complexity: 6  size: 7
fitness: 9.69841  complexity: 6  size: 7
fitness: 9.98664  complexity: 6  size: 7
fitness: 10.0282  complexity: 6  size: 7
fitness: 10.1526  complexity: 6  size: 7
fitness: 10.8908  complexity: 6  size: 7
fitness: 10.916  complexity: 6  size: 7
fitness: 11.0929  complexity: 6  size: 7
fitness: 11.6008  complexity: 6  size: 7
fitness: 11.7173  complexity: 6  size: 7
fitness: 11.8113  complexity: 6  size: 7
fitness: 12.3405  complexity: 6  size: 7





fitness: 473.788  complexity: 6  size: 7



Generation: 2



Species: 90.4528  offsprings: 14  size: 13
fitness: 0.163916  complexity: 6  size: 7
fitness: 9.5188  complexity: 6  size: 7
fitness: 9.61342  complexity: 6  size: 7
fitness: 10.3462  complexity: 6  size: 7
fitness: 12.7373  complexity: 6  size: 7
fitness: 18.0762  complexity: 6  size: 7
fitness: 50.7612  complexity: 6  size: 7
fitness: 55.6773  complexity: 6  size: 7
fitness: 61.8276  complexity: 6  size: 7
fitness: 94.5918  complexity: 6  size: 7
fitness: 265.481  complexity: 6  size: 7
fitness: 291.146  complexity: 6  size: 7
fitness: 295.944  complexity: 6  size: 7


Species: 67.8907  offsprings: 15  size: 34
fitness: 2.08975  complexity: 6  size: 7
fitness: 2.66685  complexity: 6  size: 7
fitness: 8.6813  complexity: 6  size: 7
fitness: 11.3754  complexity: 6  size: 7
fitness: 11.4025  complexity: 6  size: 7
fitness: 11.5311  complexity: 6  size: 7
fitness: 11.7552  complexity: 6  size: 7
fitness: 12.1444  complexity: 6  size: 7
fitness: 13.4726  complexity: 6  size: 7
fitness: 15.1598  complexity: 6  size: 7
fitness: 17.8192  complexity: 6  size: 7
fitness: 18.7494  complexity: 6  size: 7
fitness: 22.9198  complexity: 6  size: 7
fitness: 24.4255  complexity: 6  size: 7
fitness: 25.8082  complexity: 6  size: 7
fitness: 27.3335  complexity: 6  size: 7
fitness: 27.4561  complexity: 6  size: 7
fitness: 27.6751  complexity: 6  size: 7
fitness: 28.9597  complexity: 6  size: 7
fitness: 30.3045  complexity: 6  size: 7
fitness: 37.4818  complexity: 6  size: 7
fitness: 40.3216  complexity: 6  size: 7
fitness: 43.0093  complexity: 6  size: 7
fitness: 52.709  complexity: 6  size: 7
fitness: 53.183  complexity: 6  size: 7
fitness: 77.469  complexity: 6  size: 7
fitness: 86.1992  complexity: 6  size: 7
fitness: 111.415  complexity: 6  size: 7
fitness: 127.532  complexity: 6  size: 7
fitness: 144.36  complexity: 6  size: 7
fitness: 160.93  complexity: 6  size: 7
fitness: 196.007  complexity: 6  size: 7
fitness: 353.952  complexity: 6  size: 7
fitness: 471.985  complexity: 6  size: 7


